Fiscal Year,County,Region,Removal Stage,Removals
2021,Camp,4-Tyler,Family Preservation,3
2021,Camp,4-Tyler,Investigation,16
2021,Carson,1-Lubbock,Family Preservation,0
2021,Carson,1-Lubbock,Investigation,5
2021,Cass,4-Tyler,Family Preservation,14
2021,Cass,4-Tyler,Investigation,32
2021,Castro,1-Lubbock,Family Preservation,0
2021,Castro,1-Lubbock,Investigation,7
2021,Chambers,6-Houston,Family Preservation,2
2021,Chambers,6-Houston,Investigation,17
2021,Cherokee,4-Tyler,Family Preservation,28
2021,Cherokee,4-Tyler,Investigation,36
2021,Childress,1-Lubbock,Family Preservation,0
2021,Childress,1-Lubbock,Investigation,5
2021,Clay,2-Abilene,Family Preservation,8
2021,Clay,2-Abilene,Investigation,8
2021,Cochran,1-Lubbock,Family Preservation,0
2021,Cochran,1-Lubbock,Investigation,4
2021,Coke,9-Midland,Family Preservation,0
2021,Coke,9-Midland,Investigation,1
2021,Coleman,2-Abilene,Family Preservation,2
2021,Coleman,2-Abilene,Investigation,12
2021,Collin,3-Arlington,Family Preservation,25
2021,Collin,3-Arlington,Investigation,136
2021,Collingsworth,1-Lubbock,Family Preservation,0
2021,Collingsworth,1-Lubbock,Investigation,3
2021,Colorado,6-Houston,Family Preservation,0
2021,Colorado,6-Houston,Investigation,12
2021,Comal,8-San Antonio,Family Preservation,16
2021,Comal,8-San Antonio,Investigation,93
2021,Comanche,2-Abilene,Family Preservation,0
2021,Comanche,2-Abilene,Investigation,14
2021,Concho,9-Midland,Family Preservation,5
2021,Concho,9-Midland,Investigation,2
2021,Cooke,3-Arlington,Family Preservation,6
2021,Cooke,3-Arlington,Investigation,40
2021,Coryell,7-Austin,Family Preservation,5
2021,Coryell,7-Austin,Investigation,117
2021,Cottle,2-Abilene,Family Preservation,0
2021,Cottle,2-Abilene,Investigation,4
2021,Crosby,1-Lubbock,Family Preservation,0
2021,Crosby,1-Lubbock,Investigation,8
2021,Culberson,10-El Paso,Family Preservation,0
2021,Culberson,10-El Paso,Investigation,3
2021,Dallam,1-Lubbock,Family Preservation,0
2021,Dallam,1-Lubbock,Investigation,20
2021,Dallas,3-Arlington,Family Preservation,74
2021,Dallas,3-Arlington,Investigation,1068
2021,Dawson,9-Midland,Family Preservation,2
2021,Dawson,9-Midland,Investigation,8
2021,DeWitt,8-San Antonio,Family Preservation,13
2021,DeWitt,8-San Antonio,Investigation,3
2021,Deaf Smith,1-Lubbock,Family Preservation,1
2021,Deaf Smith,1-Lubbock,Investigation,18
2021,Denton,3-Arlington,Family Preservation,48
2021,Denton,3-Arlington,Investigation,283
2021,Dickens,1-Lubbock,Family Preservation,0
2021,Dickens,1-Lubbock,Investigation,6
2021,Dimmit,8-San Antonio,Family Preservation,0
2021,Dimmit,8-San Antonio,Investigation,12
2021,Donley,1-Lubbock,Family Preservation,2
2021,Donley,1-Lubbock,Investigation,2
2021,Duval,11-Edinburg,Family Preservation,14
2021,Duval,11-Edinburg,Investigation,9
2021,Eastland,2-Abilene,Family Preservation,12
2021,Eastland,2-Abilene,Investigation,34
2021,Ector,9-Midland,Family Preservation,33
2021,Ector,9-Midland,Investigation,134
2021,El Paso,10-El Paso,Family Preservation,59
2021,El Paso,10-El Paso,Investigation,158
2021,Ellis,3-Arlington,Family Preservation,8
2021,Ellis,3-Arlington,Investigation,16
2021,Erath,3-Arlington,Family Preservation,4
2021,Erath,3-Arlington,Investigation,22
2021,Falls,7-Austin,Family Preservation,1
2021,Falls,7-Austin,Investigation,18
2021,Fannin,3-Arlington,Family Preservation,4
2021,Fannin,3-Arlington,Investigation,22
2021,Fayette,7-Austin,Family Preservation,16
2021,Fayette,7-Austin,Investigation,15
2021,Fisher,2-Abilene,Family Preservation,1
2021,Fisher,2-Abilene,Investigation,11
2021,Foard,2-Abilene,Family Preservation,2
2021,Foard,2-Abilene,Investigation,0
2021,Fort Bend,6-Houston,Family Preservation,11
2021,Fort Bend,6-Houston,Investigation,43
2021,Franklin,4-Tyler,Family Preservation,1
2021,Franklin,4-Tyler,Investigation,8
2021,Freestone,7-Austin,Family Preservation,4
2021,Freestone,7-Austin,Investigation,13
2021,Frio,8-San Antonio,Family Preservation,11
2021,Frio,8-San Antonio,Investigation,16
2021,Gaines,9-Midland,Family Preservation,0
2021,Gaines,9-Midland,Investigation,1
2021,Galveston,6-Houston,Family Preservation,59
2021,Galveston,6-Houston,Investigation,141
2021,Garza,1-Lubbock,Family Preservation,0
2021,Garza,1-Lubbock,Investigation,10
2021,Gillespie,8-San Antonio,Family Preservation,5
2021,Gillespie,8-San Antonio,Investigation,11
2021,Goliad,8-San Antonio,Family Preservation,6
2021,Goliad,8-San Antonio,Investigation,2
2021,Gonzales,8-San Antonio,Family Preservation,7
2021,Gonzales,8-San Antonio,Investigation,3
2021,Gray,1-Lubbock,Family Preservation,5
2021,Gray,1-Lubbock,Investigation,47
2021,Grayson,3-Arlington,Family Preservation,7
2021,Grayson,3-Arlington,Investigation,83
2021,Gregg,4-Tyler,Family Preservation,36
2021,Gregg,4-Tyler,Investigation,124
2021,Grimes,7-Austin,Family Preservation,1
2021,Grimes,7-Austin,Investigation,29
2021,Guadalupe,8-San Antonio,Family Preservation,3
2021,Guadalupe,8-San Antonio,Investigation,12
2021,Hale,1-Lubbock,Family Preservation,5
2021,Hale,1-Lubbock,Investigation,31
2021,Hall,1-Lubbock,Family Preservation,0
2021,Hall,1-Lubbock,Investigation,8
2021,Hamilton,7-Austin,Family Preservation,4
2021,Hamilton,7-Austin,Investigation,5
2021,Hansford,1-Lubbock,Family Preservation,0
2021,Hansford,1-Lubbock,Investigation,4
2021,Hardeman,2-Abilene,Family Preservation,0
2021,Hardeman,2-Abilene,Investigation,5
2021,Hardin,5-Beaumont,Family Preservation,4
2021,Hardin,5-Beaumont,Investigation,54
2021,Harris,6-Houston,Family Preservation,162
2021,Harris,6-Houston,Investigation,829
2021,Harrison,4-Tyler,Family Preservation,14
2021,Harrison,4-Tyler,Investigation,45
2021,Hartley,1-Lubbock,Family Preservation,0
2021,Hartley,1-Lubbock,Investigation,5
2021,Haskell,2-Abilene,Family Preservation,0
2021,Haskell,2-Abilene,Investigation,23
2021,Hays,7-Austin,Family Preservation,33
2021,Hays,7-Austin,Investigation,153
2021,Henderson,4-Tyler,Family Preservation,23
2021,Henderson,4-Tyler,Investigation,70
2021,Hidalgo,11-Edinburg,Family Preservation,81
2021,Hidalgo,11-Edinburg,Investigation,129
2021,Hill,7-Austin,Family Preservation,2
2021,Hill,7-Austin,Investigation,76
2021,Hockley,1-Lubbock,Family Preservation,2
2021,Hockley,1-Lubbock,Investigation,29
2021,Hood,3-Arlington,Family Preservation,2
2021,Hood,3-Arlington,Investigation,44
2021,Hopkins,4-Tyler,Family Preservation,5
2021,Hopkins,4-Tyler,Investigation,40
2021,Houston,5-Beaumont,Family Preservation,1
2021,Houston,5-Beaumont,Investigation,18
2021,Howard,9-Midland,Family Preservation,1
2021,Howard,9-Midland,Investigation,26
2021,Hunt,3-Arlington,Family Preservation,12
2021,Hunt,3-Arlington,Investigation,96
2021,Hutchinson,1-Lubbock,Family Preservation,9
2021,Hutchinson,1-Lubbock,Investigation,36
2021,Jack,2-Abilene,Family Preservation,4
2021,Jack,2-Abilene,Investigation,4
2021,Jackson,8-San Antonio,Family Preservation,0
2021,Jackson,8-San Antonio,Investigation,7
2021,Jasper,5-Beaumont,Family Preservation,3
2021,Jasper,5-Beaumont,Investigation,35
2021,Jefferson,5-Beaumont,Family Preservation,29
2021,Jefferson,5-Beaumont,Investigation,210
2021,Jim Hogg,11-Edinburg,Family Preservation,1
2021,Jim Hogg,11-Edinburg,Investigation,5
2021,Jim Wells,11-Edinburg,Family Preservation,3
2021,Jim Wells,11-Edinburg,Investigation,49
2021,Johnson,3-Arlington,Family Preservation,17
2021,Johnson,3-Arlington,Investigation,83
2021,Jones,2-Abilene,Family Preservation,2
2021,Jones,2-Abilene,Investigation,22
2021,Karnes,8-San Antonio,Family Preservation,0
2021,Karnes,8-San Antonio,Investigation,8
2021,Kaufman,3-Arlington,Family Preservation,14
2021,Kaufman,3-Arlington,Investigation,38
2021,Kendall,8-San Antonio,Family Preservation,3
2021,Kendall,8-San Antonio,Investigation,6
2021,Kerr,8-San Antonio,Family Preservation,13
2021,Kerr,8-San Antonio,Investigation,26
2021,Kimble,9-Midland,Family Preservation,0
2021,Kimble,9-Midland,Investigation,3
2021,Kinney,8-San Antonio,Family Preservation,0
2021,Kinney,8-San Antonio,Investigation,4
2021,Kleberg,11-Edinburg,Family Preservation,17
2021,Kleberg,11-Edinburg,Investigation,20
2021,Knox,2-Abilene,Family Preservation,0
2021,Knox,2-Abilene,Investigation,5
2021,La Salle,8-San Antonio,Family Preservation,8
2021,La Salle,8-San Antonio,Investigation,5
2021,Lamar,4-Tyler,Family Preservation,26
2021,Lamar,4-Tyler,Investigation,46
2021,Lamb,1-Lubbock,Family Preservation,2
2021,Lamb,1-Lubbock,Investigation,5
2021,Lampasas,7-Austin,Family Preservation,4
2021,Lampasas,7-Austin,Investigation,38
2021,Lavaca,8-San Antonio,Family Preservation,11
2021,Lavaca,8-San Antonio,Investigation,2
2021,Lee,7-Austin,Family Preservation,0
2021,Lee,7-Austin,Investigation,20
2021,Leon,7-Austin,Family Preservation,0
2021,Leon,7-Austin,Investigation,19
2021,Liberty,6-Houston,Family Preservation,17
2021,Liberty,6-Houston,Investigation,73
2021,Limestone,7-Austin,Family Preservation,2
2021,Limestone,7-Austin,Investigation,34
2021,Lipscomb,1-Lubbock,Family Preservation,0
2021,Lipscomb,1-Lubbock,Investigation,3
2021,Live Oak,11-Edinburg,Family Preservation,0
2021,Live Oak,11-Edinburg,Investigation,5
2021,Llano,7-Austin,Family Preservation,9
2021,Llano,7-Austin,Investigation,43
2021,Lubbock,1-Lubbock,Family Preservation,48
2021,Lubbock,1-Lubbock,Investigation,294
2021,Lynn,1-Lubbock,Family Preservation,0
2021,Lynn,1-Lubbock,Investigation,9
2021,Madison,7-Austin,Family Preservation,7
2021,Madison,7-Austin,Investigation,12
2021,Marion,4-Tyler,Family Preservation,0
2021,Marion,4-Tyler,Investigation,16
2021,Martin,9-Midland,Family Preservation,0
2021,Martin,9-Midland,Investigation,6
2021,Matagorda,6-Houston,Family Preservation,16
2021,Matagorda,6-Houston,Investigation,18
2021,Maverick,8-San Antonio,Family Preservation,8
2021,Maverick,8-San Antonio,Investigation,26
2021,McCulloch,9-Midland,Family Preservation,3
2021,McCulloch,9-Midland,Investigation,7
2021,McLennan,7-Austin,Family Preservation,37
2021,McLennan,7-Austin,Investigation,318
2021,Medina,8-San Antonio,Family Preservation,11
2021,Medina,8-San Antonio,Investigation,23
2021,Menard,9-Midland,Family Preservation,2
2021,Menard,9-Midland,Investigation,1
2021,Midland,9-Midland,Family Preservation,12
2021,Midland,9-Midland,Investigation,34
2021,Milam,7-Austin,Family Preservation,9
2021,Milam,7-Austin,Investigation,44
2021,Mills,7-Austin,Family Preservation,0
2021,Mills,7-Austin,Investigation,6
2021,Mitchell,2-Abilene,Family Preservation,0
2021,Mitchell,2-Abilene,Investigation,4
2021,Montague,2-Abilene,Family Preservation,7
2021,Montague,2-Abilene,Investigation,18
2021,Montgomery,6-Houston,Family Preservation,27
2021,Montgomery,6-Houston,Investigation,182
2021,Moore,1-Lubbock,Family Preservation,4
2021,Moore,1-Lubbock,Investigation,20
2021,Morris,4-Tyler,Family Preservation,1
2021,Morris,4-Tyler,Investigation,24
2021,Nacogdoches,5-Beaumont,Family Preservation,21
2021,Nacogdoches,5-Beaumont,Investigation,24
2021,Navarro,3-Arlington,Family Preservation,5
2021,Navarro,3-Arlington,Investigation,20
2021,Newton,5-Beaumont,Family Preservation,0
2021,Newton,5-Beaumont,Investigation,20
2021,Nolan,2-Abilene,Family Preservation,10
2021,Nolan,2-Abilene,Investigation,39
2021,Nueces,11-Edinburg,Family Preservation,125
2021,Nueces,11-Edinburg,Investigation,235
2021,Ochiltree,1-Lubbock,Family Preservation,1
2021,Ochiltree,1-Lubbock,Investigation,6
2021,Orange,5-Beaumont,Family Preservation,6
2021,Orange,5-Beaumont,Investigation,69
2021,Out of State,Out of State,Family Preservation,0
2021,Out of State,Out of State,Investigation,1
2021,Palo Pinto,3-Arlington,Family Preservation,12
2021,Palo Pinto,3-Arlington,Investigation,30
2021,Panola,4-Tyler,Family Preservation,3
2021,Panola,4-Tyler,Investigation,25
2021,Parker,3-Arlington,Family Preservation,32
2021,Parker,3-Arlington,Investigation,71
2021,Parmer,1-Lubbock,Family Preservation,0
2021,Parmer,1-Lubbock,Investigation,4
2021,Pecos,9-Midland,Family Preservation,5
2021,Pecos,9-Midland,Investigation,19
2021,Polk,5-Beaumont,Family Preservation,5
2021,Polk,5-Beaumont,Investigation,31
2021,Potter,1-Lubbock,Family Preservation,17
2021,Potter,1-Lubbock,Investigation,143
2021,Presidio,10-El Paso,Family Preservation,1
2021,Presidio,10-El Paso,Investigation,0
2021,Rains,4-Tyler,Family Preservation,3
2021,Rains,4-Tyler,Investigation,8
2021,Randall,1-Lubbock,Family Preservation,12
2021,Randall,1-Lubbock,Investigation,73
2021,Real,8-San Antonio,Family Preservation,0
2021,Real,8-San Antonio,Investigation,4
2021,Red River,4-Tyler,Family Preservation,4
2021,Red River,4-Tyler,Investigation,7
2021,Reeves,9-Midland,Family Preservation,1
2021,Reeves,9-Midland,Investigation,9
2021,Refugio,11-Edinburg,Family Preservation,4
2021,Refugio,11-Edinburg,Investigation,11
2021,Robertson,7-Austin,Family Preservation,5
2021,Robertson,7-Austin,Investigation,40
2021,Rockwall,3-Arlington,Family Preservation,5
2021,Rockwall,3-Arlington,Investigation,36
2021,Runnels,2-Abilene,Family Preservation,6
2021,Runnels,2-Abilene,Investigation,4
2021,Rusk,4-Tyler,Family Preservation,4
2021,Rusk,4-Tyler,Investigation,47
2021,Sabine,5-Beaumont,Family Preservation,4
2021,Sabine,5-Beaumont,Investigation,19
2021,San Augustine,5-Beaumont,Family Preservation,3
2021,San Augustine,5-Beaumont,Investigation,7
2021,San Jacinto,5-Beaumont,Family Preservation,4
2021,San Jacinto,5-Beaumont,Investigation,10
2021,San Patricio,11-Edinburg,Family Preservation,2
2021,San Patricio,11-Edinburg,Investigation,35
2021,San Saba,7-Austin,Family Preservation,2
2021,San Saba,7-Austin,Investigation,7
2021,Schleicher,9-Midland,Family Preservation,0
2021,Schleicher,9-Midland,Investigation,3
2021,Scurry,2-Abilene,Family Preservation,0
2021,Scurry,2-Abilene,Investigation,34
2021,Shackelford,2-Abilene,Family Preservation,0
2021,Shackelford,2-Abilene,Investigation,7
2021,Shelby,5-Beaumont,Family Preservation,1
2021,Shelby,5-Beaumont,Investigation,21
2021,Sherman,1-Lubbock,Family Preservation,0
2021,Sherman,1-Lubbock,Investigation,4
2021,Smith,4-Tyler,Family Preservation,40
2021,Smith,4-Tyler,Investigation,195
2021,Somervell,3-Arlington,Family Preservation,3
2021,Somervell,3-Arlington,Investigation,9
2021,Starr,11-Edinburg,Family Preservation,9
2021,Starr,11-Edinburg,Investigation,36
2021,Stephens,2-Abilene,Family Preservation,4
2021,Stephens,2-Abilene,Investigation,6
2021,Stonewall,2-Abilene,Family Preservation,2
2021,Stonewall,2-Abilene,Investigation,1
2021,Sutton,9-Midland,Family Preservation,1
2021,Sutton,9-Midland,Investigation,4
2021,Swisher,1-Lubbock,Family Preservation,0
2021,Swisher,1-Lubbock,Investigation,7
2021,Tarrant,3-Arlington,Family Preservation,77
2021,Tarrant,3-Arlington,Investigation,586
2021,Taylor,2-Abilene,Family Preservation,58
2021,Taylor,2-Abilene,Investigation,181
2021,Terry,1-Lubbock,Family Preservation,0
2021,Terry,1-Lubbock,Investigation,5
2021,Titus,4-Tyler,Family Preservation,0
2021,Titus,4-Tyler,Investigation,18
2021,Tom Green,9-Midland,Family Preservation,46
2021,Tom Green,9-Midland,Investigation,124
2021,Travis,7-Austin,Family Preservation,142
2021,Travis,7-Austin,Investigation,360
2021,Trinity,5-Beaumont,Family Preservation,4
2021,Trinity,5-Beaumont,Investigation,15
2021,Tyler,5-Beaumont,Family Preservation,0
2021,Tyler,5-Beaumont,Investigation,8
2021,Unknown,Unknown,Family Preservation,3
2021,Unknown,Unknown,Investigation,2
2021,Upshur,4-Tyler,Family Preservation,5
2021,Upshur,4-Tyler,Investigation,50
2021,Upton,9-Midland,Family Preservation,0
2021,Upton,9-Midland,Investigation,3
2021,Uvalde,8-San Antonio,Family Preservation,3
2021,Uvalde,8-San Antonio,Investigation,9
2021,Val Verde,8-San Antonio,Family Preservation,2
2021,Val Verde,8-San Antonio,Investigation,18
2021,Van Zandt,4-Tyler,Family Preservation,17
2021,Van Zandt,4-Tyler,Investigation,57
2021,Victoria,8-San Antonio,Family Preservation,22
2021,Victoria,8-San Antonio,Investigation,35
2021,Walker,6-Houston,Family Preservation,0
2021,Walker,6-Houston,Investigation,18
2021,Waller,6-Houston,Family Preservation,1
2021,Waller,6-Houston,Investigation,9
2021,Ward,9-Midland,Family Preservation,6
2021,Ward,9-Midland,Investigation,9
2021,Washington,7-Austin,Family Preservation,0
2021,Washington,7-Austin,Investigation,40
2021,Webb,11-Edinburg,Family Preservation,35
2021,Webb,11-Edinburg,Investigation,128
2021,Wharton,6-Houston,Family Preservation,11
2021,Wharton,6-Houston,Investigation,18
2021,Wheeler,1-Lubbock,Family Preservation,0
2021,Wheeler,1-Lubbock,Investigation,5
2021,Wichita,2-Abilene,Family Preservation,20
2021,Wichita,2-Abilene,Investigation,193
2021,Wilbarger,2-Abilene,Family Preservation,0
2021,Wilbarger,2-Abilene,Investigation,21
2021,Willacy,11-Edinburg,Family Preservation,1
2021,Willacy,11-Edinburg,Investigation,10
2021,Williamson,7-Austin,Family Preservation,16
2021,Williamson,7-Austin,Investigation,90
2021,Wilson,8-San Antonio,Family Preservation,9
2021,Wilson,8-San Antonio,Investigation,25
2021,Winkler,9-Midland,Family Preservation,0
2021,Winkler,9-Midland,Investigation,10
2021,Wise,3-Arlington,Family Preservation,3
2021,Wise,3-Arlington,Investigation,55
2021,Wood,4-Tyler,Family Preservation,7
2021,Wood,4-Tyler,Investigation,31
2021,Yoakum,1-Lubbock,Family Preservation,0
2021,Yoakum,1-Lubbock,Investigation,3
2021,Young,2-Abilene,Family Preservation,4
2021,Young,2-Abilene,Investigation,18
2021,Zapata,11-Edinburg,Family Preservation,14
2021,Zapata,11-Edinburg,Investigation,11
2021,Zavala,8-San Antonio,Family Preservation,8
2021,Zavala,8-San Antonio,Investigation,15
2020,Anderson,4-Tyler,Family Preservation,15
2020,Anderson,4-Tyler,Investigation,49
2020,Andrews,9-Midland,Family Preservation,3
2020,Andrews,9-Midland,Investigation,10
2020,Angelina,5-Beaumont,Family Preservation,15
2020,Angelina,5-Beaumont,Investigation,44
2020,Aransas,11-Edinburg,Family Preservation,14
2020,Aransas,11-Edinburg,Investigation,15
2020,Archer,2-Abilene,Family Preservation,0
2020,Archer,2-Abilene,Investigation,6
2020,Atascosa,8-San Antonio,Family Preservation,16
2020,Atascosa,8-San Antonio,Investigation,71
2020,Austin,6-Houston,Family Preservation,4
2020,Austin,6-Houston,Investigation,3
2020,Bailey,1-Lubbock,Family Preservation,0
2020,Bailey,1-Lubbock,Investigation,21
2020,Bandera,8-San Antonio,Family Preservation,6
2020,Bandera,8-San Antonio,Investigation,8
2020,Bastrop,7-Austin,Family Preservation,12
2020,Bastrop,7-Austin,Investigation,86
2020,Baylor,2-Abilene,Family Preservation,8
2020,Baylor,2-Abilene,Investigation,8
2020,Bee,11-Edinburg,Family Preservation,5
2020,Bee,11-Edinburg,Investigation,12
2020,Bell,7-Austin,Family Preservation,69
2020,Bell,7-Austin,Investigation,670
2020,Bexar,8-San Antonio,Family Preservation,642
2020,Bexar,8-San Antonio,Investigation,1097
2020,Blanco,7-Austin,Family Preservation,0
2020,Blanco,7-Austin,Investigation,11
2020,Bosque,7-Austin,Family Preservation,1
2020,Bosque,7-Austin,Investigation,42
2020,Bowie,4-Tyler,Family Preservation,8
2020,Bowie,4-Tyler,Investigation,66
2020,Brazoria,6-Houston,Family Preservation,31
2020,Brazoria,6-Houston,Investigation,59
2020,Brazos,7-Austin,Family Preservation,9
2020,Brazos,7-Austin,Investigation,89
2020,Brewster,10-El Paso,Family Preservation,6
2020,Brewster,10-El Paso,Investigation,1
2020,Brooks,11-Edinburg,Family Preservation,6
2020,Brooks,11-Edinburg,Investigation,6
2020,Brown,2-Abilene,Family Preservation,27
2020,Brown,2-Abilene,Investigation,64
2020,Burleson,7-Austin,Family Preservation,4
2020,Burleson,7-Austin,Investigation,36
2020,Burnet,7-Austin,Family Preservation,8
2020,Burnet,7-Austin,Investigation,93
2020,Caldwell,7-Austin,Family Preservation,20
2020,Caldwell,7-Austin,Investigation,42
2020,Calhoun,8-San Antonio,Family Preservation,4
2020,Calhoun,8-San Antonio,Investigation,6
2020,Callahan,2-Abilene,Family Preservation,5
2020,Callahan,2-Abilene,Investigation,10
2020,Cameron,11-Edinburg,Family Preservation,91
2020,Cameron,11-Edinburg,Investigation,156
2020,Camp,4-Tyler,Family Preservation,2
2020,Camp,4-Tyler,Investigation,10
2020,Carson,1-Lubbock,Family Preservation,0
2020,Carson,1-Lubbock,Investigation,1
2020,Cass,4-Tyler,Family Preservation,3
2020,Cass,4-Tyler,Investigation,23
2020,Chambers,6-Houston,Family Preservation,0
2020,Chambers,6-Houston,Investigation,3
2020,Cherokee,4-Tyler,Family Preservation,7
2020,Cherokee,4-Tyler,Investigation,73
2020,Childress,1-Lubbock,Family Preservation,2
2020,Childress,1-Lubbock,Investigation,7
2020,Clay,2-Abilene,Family Preservation,1
2020,Clay,2-Abilene,Investigation,6
2020,Cochran,1-Lubbock,Family Preservation,0
2020,Cochran,1-Lubbock,Investigation,1
2020,Coke,9-Midland,Family Preservation,0
2020,Coke,9-Midland,Investigation,1
2020,Coleman,2-Abilene,Family Preservation,6
2020,Coleman,2-Abilene,Investigation,10
2020,Collin,3-Arlington,Family Preservation,23
2020,Collin,3-Arlington,Investigation,119
2020,Collingsworth,1-Lubbock,Family Preservation,1
2020,Collingsworth,1-Lubbock,Investigation,9
2020,Colorado,6-Houston,Family Preservation,4
2020,Colorado,6-Houston,Investigation,2
2020,Comal,8-San Antonio,Family Preservation,19
2020,Comal,8-San Antonio,Investigation,95
2020,Comanche,2-Abilene,Family Preservation,3
2020,Comanche,2-Abilene,Investigation,7
2020,Concho,9-Midland,Family Preservation,0
2020,Concho,9-Midland,Investigation,5
2020,Cooke,3-Arlington,Family Preservation,5
2020,Cooke,3-Arlington,Investigation,43
2020,Coryell,7-Austin,Family Preservation,11
2020,Coryell,7-Austin,Investigation,156
2020,Cottle,2-Abilene,Family Preservation,0
2020,Cottle,2-Abilene,Investigation,3
2020,Crane,9-Midland,Family Preservation,1
2020,Crane,9-Midland,Investigation,2
2020,Crockett,9-Midland,Family Preservation,3
2020,Crockett,9-Midland,Investigation,3
2020,Crosby,1-Lubbock,Family Preservation,5
2020,Crosby,1-Lubbock,Investigation,12
2020,Dallam,1-Lubbock,Family Preservation,0
2020,Dallam,1-Lubbock,Investigation,21
2020,Dallas,3-Arlington,Family Preservation,95
2020,Dallas,3-Arlington,Investigation,982
2020,Dawson,9-Midland,Family Preservation,2
2020,Dawson,9-Midland,Investigation,7
2020,DeWitt,8-San Antonio,Family Preservation,2
2020,DeWitt,8-San Antonio,Investigation,6
2020,Deaf Smith,1-Lubbock,Family Preservation,0
2020,Deaf Smith,1-Lubbock,Investigation,14
2020,Delta,4-Tyler,Family Preservation,0
2020,Delta,4-Tyler,Investigation,5
2020,Denton,3-Arlington,Family Preservation,38
2020,Denton,3-Arlington,Investigation,258
2020,Dimmit,8-San Antonio,Family Preservation,6
2020,Dimmit,8-San Antonio,Investigation,5
2020,Donley,1-Lubbock,Family Preservation,0
2020,Donley,1-Lubbock,Investigation,2
2020,Duval,11-Edinburg,Family Preservation,8
2020,Duval,11-Edinburg,Investigation,12
2020,Eastland,2-Abilene,Family Preservation,3
2020,Eastland,2-Abilene,Investigation,12
2020,Ector,9-Midland,Family Preservation,67
2020,Ector,9-Midland,Investigation,116
2020,El Paso,10-El Paso,Family Preservation,55
2020,El Paso,10-El Paso,Investigation,175
2020,Ellis,3-Arlington,Family Preservation,12
2020,Ellis,3-Arlington,Investigation,30
2020,Erath,3-Arlington,Family Preservation,2
2020,Erath,3-Arlington,Investigation,21
2020,Falls,7-Austin,Family Preservation,6
2020,Falls,7-Austin,Investigation,45
2020,Fannin,3-Arlington,Family Preservation,11
2020,Fannin,3-Arlington,Investigation,41
2020,Fayette,7-Austin,Family Preservation,10
2020,Fayette,7-Austin,Investigation,20
2020,Fisher,2-Abilene,Family Preservation,1
2020,Fisher,2-Abilene,Investigation,4
2020,Floyd,1-Lubbock,Family Preservation,2
2020,Floyd,1-Lubbock,Investigation,6
2020,Foard,2-Abilene,Family Preservation,0
2020,Foard,2-Abilene,Investigation,4
2020,Fort Bend,6-Houston,Family Preservation,8
2020,Fort Bend,6-Houston,Investigation,51
2020,Franklin,4-Tyler,Family Preservation,1
